type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
intronVariant,0.0,0.0,0.0,0,"[('type', 1)]",[]
isbn,1.0,1.0,1.0,1,[],[]
jockey,0.0,0.0,0.0,1,[],"[('context', 1)]"
language,1.0,0.6666666666666666,0.8,3,[],"[('manufacture', 1)]"
laps,0.0,0.0,0.0,0,"[('code', 1)]",[]
length,0.0,0.0,0.0,0,"[('description', 1)]",[]
level,0.0,0.0,0.0,0,"[('category', 1)]",[]
location,0.19469026548672566,0.6111111111111112,0.2953020134228188,36,"[('city', 39), ('state', 20), ('name', 7), ('address', 4), ('team', 4)]","[('country', 1), ('studiob', 1), ('age', 1), ('type', 1), ('fiction', 1)]"
m,0.0,0.0,0.0,0,"[('name', 1)]",[]
madrid,0.0,0.0,0.0,0,"[('artist', 1)]",[]
maintenance,0.0,0.0,0.0,0,"[('description', 1)]",[]
manufacture,0.0,0.0,0.0,0,"[('language', 1)]",[]
map,0.0,0.0,0.0,0,"[('command', 1)]",[]
memoryAddressOfWorker,0.0,0.0,0.0,0,"[('description', 1)]",[]
monday,0.0,0.0,0.0,0,"[('day', 1)]",[]
month,0.0,0.0,0.0,0,"[('range', 1)]",[]
mpn,0.0,0.0,0.0,0,"[('brand', 1)]",[]
music,0.0,0.0,0.0,0,"[('genre', 1)]",[]
nA,0.0,0.0,0.0,0,"[('name', 1), ('category', 1)]",[]
namco,0.0,0.0,0.0,0,"[('publisher', 1)]",[]
name,0.8,0.27722772277227725,0.411764705882353,101,"[('county', 2), ('club', 2), ('artist', 2), ('owner', 1)]","[('1', 19), ('location', 7), ('team', 5), ('type', 4), ('rating', 2)]"
nc,0.0,0.0,0.0,0,"[('state', 1)]",[]
no,0.0,0.0,0.0,0,"[('type', 1)]",[]
notes,0.6666666666666666,0.2,0.30769230769230765,10,"[('name', 1)]","[('location', 2), ('description', 1), ('serial', 1), ('dilution', 1), ('agent', 1)]"
number,0.0,0.0,0.0,0,"[('description', 1), ('type', 1)]",[]
numbers,0.0,0.0,0.0,0,"[('code', 1)]",[]
omi,0.0,0.0,0.0,0,"[('symbol', 1)]",[]
online,0.0,0.0,0.0,0,"[('city', 1)]",[]
operator,0.0,0.0,0.0,0,"[('status', 1)]",[]
organisation,0.0,0.0,0.0,0,"[('album', 1), ('name', 1)]",[]
organization,0.0,0.0,0.0,0,"[('name', 1)]",[]
origin,0.0,0.0,0.0,2,[],"[('country', 1), ('description', 1)]"
osVersion,0.0,0.0,0.0,0,"[('name', 1)]",[]
osx,0.0,0.0,0.0,0,"[('product', 1)]",[]
owner,0.0,0.0,0.0,1,[],"[('name', 1)]"
page,0.0,0.0,0.0,0,"[('type', 1)]",[]
park,0.0,0.0,0.0,0,"[('location', 1)]",[]
patches,0.0,0.0,0.0,0,"[('category', 1)]",[]
paw,0.0,0.0,0.0,0,"[('team', 1)]",[]
payment,0.0,0.0,0.0,0,"[('description', 2)]",[]
pending,0.0,0.0,0.0,0,"[('status', 1)]",[]
person,0.0,0.0,0.0,1,[],"[('position', 1)]"
pine,0.0,0.0,0.0,0,"[('city', 1)]",[]
played,0.0,0.0,0.0,0,"[('category', 1)]",[]
player,0.0,0.0,0.0,0,"[('name', 2)]",[]
plays,0.0,0.0,0.0,1,[],"[('age', 1)]"
points,0.0,0.0,0.0,0,"[('category', 1)]",[]
position,0.42857142857142855,0.2,0.27272727272727276,15,"[('name', 1), ('person', 1), ('type', 1), ('team', 1)]","[('age', 8), ('weight', 2), ('type', 1), ('result', 1)]"
poster,0.0,0.0,0.0,0,"[('type', 1)]",[]
product,0.0,0.0,0.0,3,"[('description', 2)]","[('type', 1), ('osx', 1), ('protein', 1)]"
program,0.0,0.0,0.0,0,"[('category', 1)]",[]
project,0.0,0.0,0.0,0,"[('description', 1)]",[]
protein,0.0,0.0,0.0,0,"[('product', 1)]",[]
publisher,0.0,0.0,0.0,2,[],"[('publishing', 1), ('namco', 1)]"
publishing,0.0,0.0,0.0,0,"[('publisher', 1)]",[]
quarter,0.0,0.0,0.0,0,"[('type', 1)]",[]
race,0.0,0.0,0.0,0,"[('status', 1)]",[]
range,0.0,0.0,0.0,1,[],"[('month', 1)]"
rank,0.0,0.0,0.0,42,"[('type', 1)]","[('age', 34), ('grade', 3), ('weight', 2), ('sales', 1), ('type', 1)]"
ranking,0.0,0.0,0.0,0,"[('type', 3), ('name', 1)]",[]
rating,0.0,0.0,0.0,0,"[('name', 2)]",[]
read,0.0,0.0,0.0,0,"[('status', 2)]",[]
reading,0.0,0.0,0.0,0,"[('status', 1)]",[]
receiving,0.0,0.0,0.0,0,"[('type', 1)]",[]
region,0.0,0.0,0.0,3,[],"[('335', 1), ('continent', 1), ('location', 1)]"
report,0.0,0.0,0.0,0,"[('name', 1)]",[]
request_uri,0.0,0.0,0.0,0,"[('name', 1)]",[]
resetAttempts,0.0,0.0,0.0,0,"[('description', 1)]",[]
respectively,0.0,0.0,0.0,0,"[('description', 1)]",[]
result,0.6111111111111112,0.6875,0.6470588235294118,16,"[('name', 2), ('position', 1), ('type', 1), ('team', 1), ('code', 1)]","[('team', 2), ('age', 1), ('country', 1), ('w', 1)]"
review,0.0,0.0,0.0,0,"[('type', 1)]",[]
sales,0.0,0.0,0.0,0,"[('rank', 1)]",[]
schaffer,0.0,0.0,0.0,0,"[('name', 1)]",[]
score,0.0,0.0,0.0,0,"[('name', 1)]",[]
season,0.0,0.0,0.0,0,"[('name', 1)]",[]
serial,0.0,0.0,0.0,0,"[('notes', 1)]",[]
series,0.0,0.0,0.0,0,"[('name', 1)]",[]
service,0.0,0.0,0.0,1,[],"[('1', 1)]"
sex,0.0,0.0,0.0,2,[],"[('type', 2)]"
site,0.0,0.0,0.0,0,"[('description', 2)]",[]
song,0.0,0.0,0.0,0,"[('name', 1)]",[]
songTitle,0.0,0.0,0.0,0,"[('album', 1)]",[]
speed,0.0,0.0,0.0,0,"[('type', 1)]",[]
spellings,0.0,0.0,0.0,0,"[('description', 1)]",[]
sport,0.0,0.0,0.0,0,"[('team', 1)]",[]
sprd,0.0,0.0,0.0,0,"[('club', 1)]",[]
src,0.0,0.0,0.0,0,"[('name', 1)]",[]
st,0.0,0.0,0.0,0,"[('location', 1)]",[]
stadium,0.0,0.0,0.0,0,"[('location', 1)]",[]
starts,0.0,0.0,0.0,0,"[('description', 1)]",[]
state,0.875,0.358974358974359,0.509090909090909,39,"[('teamName', 1), ('city', 1)]","[('location', 20), ('1', 1), ('type', 1), ('age', 1), ('nc', 1)]"
station,0.0,0.0,0.0,0,"[('name', 1)]",[]
status,0.6,0.13636363636363635,0.22222222222222218,22,"[('category', 1), ('notes', 1)]","[('location', 3), ('read', 2), ('type', 2), ('available', 2), ('pending', 1)]"
storytime,0.0,0.0,0.0,0,"[('description', 1)]",[]
studiob,0.0,0.0,0.0,0,"[('location', 1)]",[]
substance,0.0,0.0,0.0,0,"[('description', 1)]",[]
switch,0.0,0.0,0.0,0,"[('description', 2)]",[]
symbol,0.0,0.0,0.0,10,[],"[('type', 4), ('team', 3), ('omi', 1), ('-', 1), ('age', 1)]"
table,0.0,0.0,0.0,0,"[('county', 1)]",[]
team,0.5918367346938775,0.5471698113207547,0.5686274509803921,53,"[('name', 5), ('symbol', 3), ('club', 2), ('result', 2), ('location', 1)]","[('location', 4), ('country', 4), ('1', 3), ('grade', 1), ('broncos', 1)]"
teamName,0.0,0.0,0.0,2,[],"[('state', 1), ('team', 1)]"
text,0.0,0.0,0.0,0,"[('description', 1), ('type', 1)]",[]
theater,0.0,0.0,0.0,0,"[('location', 1)]",[]
theaters,0.0,0.0,0.0,0,"[('category', 1)]",[]
time,0.0,0.0,0.0,0,"[('duration', 3)]",[]
title,0.0,0.0,0.0,0,"[('location', 1), ('album', 1)]",[]
topic,0.0,0.0,0.0,0,"[('type', 1)]",[]
totals,0.0,0.0,0.0,0,"[('team', 1)]",[]
type,0.19148936170212766,0.25,0.21686746987951808,36,"[('description', 8), ('class', 6), ('category', 4), ('symbol', 4), ('name', 4)]","[('ranking', 3), ('location', 1), ('category', 1), ('quarter', 1), ('poster', 1)]"
update,0.0,0.0,0.0,0,"[('type', 1)]",[]
values,0.0,0.0,0.0,0,"[('name', 1)]",[]
violation,0.0,0.0,0.0,0,"[('description', 1)]",[]
visit,0.0,0.0,0.0,0,"[('description', 1)]",[]
vnbl,0.0,0.0,0.0,0,"[('code', 1)]",[]
w,0.0,0.0,0.0,0,"[('result', 1)]",[]
weight,0.5483870967741935,0.8095238095238095,0.6538461538461537,21,"[('age', 4), ('rank', 2), ('position', 2), ('capacity', 2), ('elevation', 1)]","[('code', 2), ('29', 1), ('33', 1)]"
willimantic,0.0,0.0,0.0,0,"[('name', 1)]",[]
women,0.0,0.0,0.0,0,"[('category', 1)]",[]
year,0.8461538461538461,0.88,0.8627450980392156,25,"[('description', 3), ('status', 1)]","[('type', 2), ('date', 1)]"
